city;latitudex1000;longitudex1000;admin;city_or_minor;population
Aşağıçiğil;38051;31864;Konya;minor;0
Aşağıpınarbaşı;38038;32601;Konya;minor;0
Asarcık;41036;36236;Samsun;minor;0
Aşkale;39917;40685;Erzurum;minor;0
Aslanapa;39216;29870;Kütahya;minor;0
Atabey;37951;30639;Isparta;minor;0
Atburgazı;37636;27246;Aydın;minor;0
Atça;37886;28216;Aydın;minor;0
Atkaracalar;40816;33076;Çankırı;minor;0
Avanos;38715;34847;Nevşehir;minor;0
Ayancık;41945;34586;Sinop;minor;0
Ayaş;40015;32332;Ankara;minor;0
Aybastı;40687;37399;Ordu;minor;0
Aydın;37845;27840;Aydın;admin;198857
Aydıncık;36144;33315;Mersin;minor;0
Aydıncık;40127;35288;Yozgat;minor;0
Aydınlar;38622;38541;Elazığ;minor;0
Aydıntepe;40383;40143;Bayburt;minor;0
Ayrancı;37361;33688;Karaman;minor;0
Ayvacık;40991;36631;Samsun;minor;0
Ayvacık;39601;26405;Çanakkale;minor;0
Ayvalık;39319;26695;Balıkesir;minor;0
Azdavay;41643;33300;Kastamonu;minor;0
Babadağ;37808;28857;Denizli;minor;0
Babaeski;41433;27093;Kırklareli;minor;0
Babatorun;36077;36291;Hatay;minor;0
Bademli;38082;28058;İzmir;minor;0
Bafra;41568;35907;Samsun;minor;0
Bağarası;37707;27549;Aydın;minor;0
Bağdere;38114;40734;Diyarbakır;minor;0
Bağgöze;37713;41915;Siirt;minor;0
Bağışlı;37718;44036;Hakkâri;minor;0
Bağkonak;38218;31272;Isparta;minor;0
Bağlar;37914;40206;Diyarbakır;minor;0
Bağlar;37914;40206;Diyarbakır;minor;0
Bağlıca;37870;41751;Siirt;minor;0
Bağpınar;37591;38319;Adıyaman;minor;0
Bahçe;37201;36578;Osmaniye;minor;0
Bahçecik;40668;29915;Kocaeli;minor;0
Bahçesaray;38125;42798;Van;minor;0
Bahşılı;39800;33437;Kırıkkale;minor;0
Bakacak;40205;27083;Çanakkale;minor;0
Bakırdağı;38216;35790;Kayseri;minor;0
Baklan;37977;29609;Denizli;minor;0
Bala;39554;33123;Ankara;minor;0
Balaban;38461;37579;Malatya;minor;0
Balcı;38725;34101;Aksaray;minor;0
Balıkesir;39649;27886;Balıkesir;admin;261516
Balıklıçeşme;40310;27082;Çanakkale;minor;0
Balışeyh;39914;33723;Kırıkkale;minor;0
Ballı;40830;27055;Tekirdağ;minor;0
Balpayam;39420;40057;Tunceli;minor;0
Balya;39749;27579;Balıkesir;minor;0
Banarlı;41067;27336;Tekirdağ;minor;0
Banaz;38737;29752;Uşak;minor;0
Bandırma;40352;27977;Balıkesir;minor;0
Barla;38018;30783;Isparta;minor;0
Bartın;41636;32338;Bartın;admin;40285
Başçiftlik;40547;37169;Tokat;minor;0
Başgedikler;40641;43522;Kars;minor;0
Başkale;38045;44017;Van;minor;0
Baskil;38569;38816;Elazığ;minor;0
Başköy;39872;39842;Erzincan;minor;0
Başmakçı;37897;30012;Afyonkarahisar;minor;0
Başpınar;39190;38687;Erzincan;minor;0
Başyayla;36753;32680;Karaman;minor;0
Başyurt;38835;39979;Elazığ;minor;0
Batman;37887;41132;Batman;admin;302074
Battalgazi;38423;38358;Malatya;minor;0
Bayat;40646;34261;Çorum;minor;0
Bayat;38983;30925;Afyonkarahisar;minor;0
Bayburt;40256;40223;Bayburt;admin;34834
Bayındır;38218;27647;İzmir;minor;0
Baykan;38158;41773;Siirt;minor;0
Bayramiç;39809;26610;Çanakkale;minor;0
Bayramören;40943;33203;Çankırı;minor;0
Bedirli;39583;36620;Sivas;minor;0
Bekilli;38231;29420;Denizli;minor;0
Bekirhan;38141;41294;Batman;minor;0
Belen;36489;36195;Hatay;minor;0
Belören;37215;32554;Konya;minor;0
Belören;37637;37580;Adıyaman;minor;0
Belören;40862;33496;Çankırı;minor;0
Bereketli;40513;37289;Tokat;minor;0
Bergama;39119;27180;İzmir;minor;0
Beşikdüzü;41052;39233;Trabzon;minor;0
Beşiri;37916;41286;Batman;minor;0
Beşkonak;37144;31199;Antalya;minor;0
Besni;37693;37861;Adıyaman;minor;0
Beşpınar;41138;35217;Samsun;minor;0
Beşpınar;37837;41602;Batman;minor;0
Beyağaç;37235;28896;Denizli;minor;0
Beyazköy;41348;27704;Tekirdağ;minor;0
Beyçayırı;38014;41324;Batman;minor;0
Beyçayırı;40255;26924;Çanakkale;minor;0
Beycuma;41328;31968;Zonguldak;minor;0
Beydağ;38087;28210;Kayseri;minor;0
Beykoz;41144;29091;İstanbul;minor;0
Beylikova;39687;31206;Eskişehir;minor;0
Beypazarı;40168;31921;Ankara;minor;0
Beypınarı;39506;37707;Sivas;minor;0
Beyşehir;37677;31725;Konya;minor;0
Beytüşşebap;37563;43166;Şırnak;minor;0
Biga;40228;27242;Çanakkale;minor;0
Bigadiç;39393;28131;Balıkesir;minor;0
Bilecik;40142;29979;Bilecik;admin;40285
Bingöl;38885;40494;Bingöl;admin;80568
Birecik;37026;37978;Şanlıurfa;minor;0
Birgi;38250;28059;İzmir;minor;0
Bismil;37845;40659;Diyarbakır;minor;0
Bitlis;38401;42108;Bitlis;admin;62811
Bodrum;37038;27429;Muğla;minor;0
Boğaziçi;38035;27559;İzmir;minor;0
Boğazkale;40022;34609;Çorum;minor;0
Boğazkaya;41450;35867;Samsun;minor;0
Boğazlıyan;39189;35245;Yozgat;minor;0
Böğürtlen;37166;38081;Şanlıurfa;minor;0
Bolaman;41034;37594;Ordu;minor;0
Bolayır;40516;26755;Çanakkale;minor;0
Bolu;40736;31606;Bolu;admin;96629
Bölükyazı;38327;42174;Bitlis;minor;0
Bolvadin;38711;31049;Afyonkarahisar;minor;0
Bor;37891;34559;Niğde;minor;0
Borçka;41358;41666;Artvin;minor;0
Borlu;38753;28467;Manisa;minor;0
Bornova;38479;27240;İzmir;minor;0
Boyabat;41469;34767;Sinop;minor;0
Boyalı;41027;33304;Kastamonu;minor;0
Bozburun;36695;28043;Muğla;minor;0
Bozcaada;39835;26070;Çanakkale;minor;0
Bozdoğan;37671;28314;Aydın;minor;0
Bozkır;37190;32247;Konya;minor;0
Bozkurt;37824;29610;Denizli;minor;0
Bozkurt;41958;34011;Kastamonu;minor;0
Bozoğlak;39623;38802;Erzincan;minor;0
Bozova;37363;38527;Şanlıurfa;minor;0
Bozova;37216;30286;Antalya;minor;0
Boztepe;40188;35888;Tokat;minor;0
Boztepe;39270;34261;Kırşehir;minor;0
Bozüyük;39908;30037;Bilecik;minor;0
Bozyazı;36105;32972;Mersin;minor;0
Buca;38398;27167;İzmir;minor;0
Bucak;37869;39062;Şanlıurfa;minor;0
Bucak;37459;30595;Burdur;minor;0
Bucakkışla;36954;33022;Karaman;minor;0
Buğdaylı;40219;27771;Balıkesir;minor;0
Buharkent;37964;28743;Aydın;minor;0
Bulancak;40938;38231;Giresun;minor;0
Bulanık;39087;42272;Muş;minor;0
Buldan;38045;28831;Denizli;minor;0
Bulucan;39703;37760;Sivas;minor;0
Bünyan;38846;35860;Kayseri;minor;0
Burç;37014;37179;Gaziantep;minor;0
Burdur;37720;30291;Burdur;admin;66158
Burhaniye;39500;26973;Balıkesir;minor;0
Bursa;40196;29060;Bursa;admin;1492000
Büyükçekmece;41013;28538;İstanbul;minor;0
Büyükderbent;40708;30114;Kocaeli;minor;0
Büyükkarıştıran;41300;27545;Kırklareli;minor;0
Büyükköy;41015;40673;Rize;minor;0
Büyükorhan;39771;28886;Bursa;minor;0
Büyükyurt;39250;39869;Tunceli;minor;0
Çağış;39519;28012;Balıkesir;minor;0
Çağlarca;39037;39139;Tunceli;minor;0
Çağlayan;39585;39687;Erzincan;minor;0
Çağlayan;40900;39712;Trabzon;minor;0
Çağlayancerit;37745;37286;Kahramanmaraş;minor;0
Çakıralan;41168;35760;Samsun;minor;0
Çakırbeyli;37735;27824;Aydın;minor;0
Çakırhüyük;37561;37856;Adıyaman;minor;0
Çakırlar;36871;30562;Antalya;minor;0
Çakmak;37623;34287;Konya;minor;0
Çal;38084;29399;Denizli;minor;0
Çaldıran;39143;43911;Van;minor;0
Çalı;40169;28921;Bursa;minor;0
Çaltılıbük;39956;28599;Bursa;minor;0
Çamardı;37832;34981;Niğde;minor;0
Çamaş;40902;37528;Ordu;minor;0
Çameli;37076;29345;Denizli;minor;0
Çamiçi;40618;37002;Tokat;minor;0
Camili;41478;41898;Artvin;minor;0
Çamlıbel;40086;36477;Tokat;minor;0
Çamlıdere;40490;32475;Ankara;minor;0
Çamlıdere;37154;39067;Şanlıurfa;minor;0
Çamlıhemşin;41048;41000;Rize;minor;0
Çamlıkaya;40639;41152;Erzurum;minor;0
Çamlıyayla;37167;34593;Mersin;minor;0
Çamoluk;40127;38730;Giresun;minor;0
Çan;39148;40203;Elazığ;minor;0
Çan;40033;27052;Çanakkale;minor;0
Çanakçı;40911;38988;Giresun;minor;0
Çanakkale;40156;26413;Çanakkale;admin;87791
Çandarlı;38935;26934;İzmir;minor;0
Çandır;40257;33469;Ankara;minor;0
Çandır;39244;35514;Yozgat;minor;0
Çankaya;39887;32857;Ankara;minor;0
Çankırı;40600;33615;Çankırı;admin;71379
Çardak;38092;36824;Kahramanmaraş;minor;0
Çardak;37827;29668;Denizli;minor;0
Çarşamba;41199;36722;Samsun;minor;0
Çarşıbaşı;41083;39383;Trabzon;minor;0
Çat;39606;40968;Erzurum;minor;0
Çatak;38003;43052;Van;minor;0
Çatakköprü;38152;41203;Diyarbakır;minor;0
Çatalan;37249;35291;Adana;minor;0
Çatalarmut;39803;39315;Erzincan;minor;0
Çatalca;41142;28464;İstanbul;minor;0
Çatalçam;39974;38848;Erzincan;minor;0
Çatalpınar;40879;37454;Ordu;minor;0
Çatalzeytin;41953;34216;Kastamonu;minor;0
Çavdarhisar;39193;29619;Kütahya;minor;0
Çavdır;37155;29694;Burdur;minor;0
Çavuş;37610;31931;Konya;minor;0
Çay;38592;31029;Afyonkarahisar;minor;0
Çaybağı;38694;39620;Elazığ;minor;0
Çaybağı;38829;39611;Tunceli;minor;0
Çaybaşı;41017;37098;Ordu;minor;0
Çaycuma;41426;32076;Zonguldak;minor;0
Çayeli;41086;40722;Rize;minor;0
Çayıralan;39303;35644;Yozgat;minor;0
Çayırbaşı;40878;42627;Ardahan;minor;0
Çayırhan;40098;31673;Ankara;minor;0
Çayırkent;41171;36329;Samsun;minor;0
Çayırlı;39808;40028;Erzincan;minor;0
Çayırova;40834;29400;Kocaeli;minor;0
Çaykara;40743;40232;Trabzon;minor;0
Çaylar;39267;41283;Muş;minor;0
Çaylarbaşı;37700;39010;Şanlıurfa;minor;0
Çekerek;40073;35495;Yozgat;minor;0
Celâlli;39693;37424;Sivas;minor;0
Çelebi;39464;33524;Kırıkkale;minor;0
Çelikhan;38026;38237;Adıyaman;minor;0
Çeltik;39024;31791;Konya;minor;0
Çeltikçi;37529;30480;Burdur;minor;0
Çeltikçi;40322;32456;Ankara;minor;0
Cemilbey;40345;35051;Çorum;minor;0
Çemişgezek;39055;38908;Tunceli;minor;0
Cengerli;39794;38848;Erzincan;minor;0
Çerçiler;41395;35237;Sinop;minor;0
Çerkeş;40812;32894;Çankırı;minor;0
Çerkezköy;41285;28000;Tekirdağ;minor;0
Çermik;38135;39445;Diyarbakır;minor;0
Çeşme;38326;26306;İzmir;minor;0
Çetinkaya;39262;37626;Sivas;minor;0
Cevizli;37197;31763;Antalya;minor;0
Cevizlik;38176;42226;Siirt;minor;0
Ceyhan;37025;35818;Adana;minor;0
Ceylanpınar;36847;40050;Şanlıurfa;minor;0
Çiçekdağı;39607;34409;Kırşehir;minor;0
Çiçekli;39055;39416;Tunceli;minor;0
Cide;41892;33004;Kastamonu;minor;0
Çiftehan;37512;34770;Niğde;minor;0
Çifteler;39383;31039;Eskişehir;minor;0
Çiftlik;38176;34485;Niğde;minor;0
Çiftlik;39783;40635;Erzurum;minor;0
Çiftlik;40072;42256;Erzurum;minor;0
Çiftlikköy;40660;29324;Yalova;minor;0
Çiğil;37479;33318;Konya;minor;0
Cihanbeyli;38661;32924;Konya;minor;0
Çilimli;40894;31049;Düzce;minor;0
Çine;37612;28061;Aydın;minor;0
Çivril;38301;29739;Denizli;minor;0
Cizre;37327;42179;Şırnak;minor;0
Çığlı;37323;43375;Hakkâri;minor;0
Çıldır;41121;43130;Ardahan;minor;0
Çınar;37722;40407;Diyarbakır;minor;0
Çınarcık;40645;29125;Yalova;minor;0
Çırçır;40055;36775;Sivas;minor;0
Çırpı;38164;27498;İzmir;minor;0
Çobanlar;38701;30783;Afyonkarahisar;minor;0
Çokak;37736;36329;Kahramanmaraş;minor;0
Çolaklı;38334;38519;Malatya;minor;0
Çöpköy;41220;26823;Edirne;minor;0
Çorlu;41159;27800;Tekirdağ;minor;0
Çorum;40549;34953;Çorum;admin;183418
Çubuk;40239;33032;Ankara;minor;0
Çukurca;37248;43614;Hakkâri;minor;0
Cumaçay;39915;43187;Ağrı;minor;0
Cumayeri;40874;30951;Düzce;minor;0
Çumra;37573;32774;Konya;minor;0
Çüngüş;38208;39286;Diyarbakır;minor;0
Dadaşköy;39945;41255;Erzurum;minor;0
Daday;41479;33467;Kastamonu;minor;0
Dağ;37193;30504;Antalya;minor;0
Dağardı;39431;28996;Kütahya;minor;0
Dağbaşı;40728;39912;Trabzon;minor;0
Dağbaşı;37898;39334;Şanlıurfa;minor;0
Dağkızılca;38311;27391;İzmir;minor;0
Dağlıca;37367;44085;Hakkâri;minor;0
Dağyolu;39538;39908;Tunceli;minor;0
Dalaman;36766;28803;Muğla;minor;0
Dallıbahçe;39133;39879;Tunceli;minor;0
Damal;41341;42837;Ardahan;minor;0
Dambaslar;41224;27248;Tekirdağ;minor;0
Damlacık;37914;38654;Adıyaman;minor;0
Danişment;39869;27633;Balıkesir;minor;0
Danişment;39172;38199;Sivas;minor;0
Darende;38546;37506;Malatya;minor;0
Dargeçit;37546;41717;Mardin;minor;0
Darıca;40021;27864;Balıkesir;minor;0
Darıca;40780;29395;Kocaeli;minor;0
Darıkent;38963;39808;Tunceli;minor;0
Datça;36727;27685;Muğla;minor;0
Davulga;38979;31371;Afyonkarahisar;minor;0
Davutlar;37734;27293;Aydın;minor;0
Dazkırı;37919;29861;Afyonkarahisar;minor;0
Dedeli;39174;43055;Ağrı;minor;0
Değirmendere;38114;27141;İzmir;minor;0
Değirmendere;40720;29781;Kocaeli;minor;0
Deliçay;39082;43486;Van;minor;0
Delice;39954;34026;Kırıkkale;minor;0
Deliktaş;39342;37204;Sivas;minor;0
Demirci;37413;39768;Şanlıurfa;minor;0
Demirci;39046;28659;Manisa;minor;0
Demirkent;40879;41730;Artvin;minor;0
Demirköy;41825;27760;Kırklareli;minor;0
Demirözü;40160;39892;Bayburt;minor;0
Demirtaş;40272;29098;Bursa;minor;0
Demirtaş;36426;32193;Antalya;minor;0
Demre;36244;29985;Antalya;minor;0
Denizli;37774;29088;Denizli;admin;372344
Derbent;38014;32016;Konya;minor;0
Dere;38983;39300;Tunceli;minor;0
Derebucak;37392;31509;Konya;minor;0
Derecik;40946;39594;Trabzon;minor;0
Dereköy;41930;27371;Kırklareli;minor;0
Dereli;40739;38443;Giresun;minor;0
Derepazarı;41024;40423;Rize;minor;0
Derik;37363;40265;Mardin;minor;0
Derince;40757;29815;Kocaeli;minor;0
Derinkuyu;38375;34734;Nevşehir;minor;0
Dernekpazarı;40797;40245;Trabzon;minor;0
Destek;40847;36183;Amasya;minor;0
Devecikonağı;39915;28562;Bursa;minor;0
Develi;38391;35492;Kayseri;minor;0
Devrek;41219;31956;Zonguldak;minor;0
Devrekani;41603;33839;Kastamonu;minor;0
Dicle;38366;40065;Diyarbakır;minor;0
Dicle;37289;42067;Şırnak;minor;0
Didim;37376;27268;Aydın;minor;0
Digor;40369;43410;Kars;minor;0
Dikbıyık;41221;36615;Samsun;minor;0
Dikili;39071;26890;İzmir;minor;0
Dikmen;41650;35267;Sinop;minor;0
Dilektepe;38075;41827;Siirt;minor;0
Dinar;38065;30166;Afyonkarahisar;minor;0
Dinek;37325;32616;Konya;minor;0
Direkli;39712;36652;Sivas;minor;0
Divriği;39371;38114;Sivas;minor;0
Diyadin;39541;43671;Ağrı;minor;0
Diyarbakır;37914;40217;Diyarbakır;admin;644763
Dodurga;39800;29917;Bilecik;minor;0
Dodurga;40855;34807;Çorum;minor;0
Doğanbey;37800;31891;Konya;minor;0
Doğanbeyli;39695;39035;Erzincan;minor;0
Doğanca;37800;42331;Siirt;minor;0
Doğançay;40626;30336;Sakarya;minor;0
Doğanhisar;38146;31676;Konya;minor;0
Doğankent;40803;38905;Giresun;minor;0
Doğankent;40808;38917;Giresun;minor;0
Doğankent;36844;35344;Adana;minor;0
Doğanpınar;36843;37618;Gaziantep;minor;0
Doğanşar;40208;37531;Sivas;minor;0
Doğanşehir;38086;37871;Malatya;minor;0
Doğansu;39132;42732;Ağrı;minor;0
Doğantepe;40598;35604;Amasya;minor;0
Doğanyol;38307;39034;Malatya;minor;0
Doğanyurt;42005;33460;Kastamonu;minor;0
Doğanyurt;40688;36716;Tokat;minor;0
Doğruyol;41061;43322;Ardahan;minor;0
Doğruyol;40980;43471;Kars;minor;0
Doğubayazıt;39547;44084;Ağrı;minor;0
Dökmetepe;40312;36292;Tokat;minor;0
Dokurcun;40573;30868;Sakarya;minor;0
Domaniç;39802;29609;Kütahya;minor;0
Dombay;38154;30209;Afyonkarahisar;minor;0
Dörtdivan;40721;32063;Bolu;minor;0
Dörtyol;36839;36230;Hatay;minor;0
Dorutay;38799;44067;Van;minor;0
Döşemealtı;37023;30602;Antalya;minor;0
Dumlu;40059;41357;Erzurum;minor;0
Dumlupınar;38854;29977;Kütahya;minor;0
Durağan;41416;35054;Sinop;minor;0
Durak;39707;28272;Balıkesir;minor;0
Dursunbey;39586;28626;Balıkesir;minor;0
Dutluca;39136;38607;Erzincan;minor;0
Düvertepe;39237;28440;Balıkesir;minor;0
Düzce;40839;31164;Düzce;admin;34834
Düziçi;37242;36455;Osmaniye;minor;0
Düzköy;40875;39415;Trabzon;minor;0
Eceabat;40184;26357;Çanakkale;minor;0
Edincik;40342;27861;Balıkesir;minor;0
Edirne;41676;26559;Edirne;admin;126470
Edremit;39596;27024;Balıkesir;minor;0
Edremit;38421;43259;Van;minor;0
Eflani;41423;32958;Karabük;minor;0
Eğerci;41099;31817;Zonguldak;minor;0
Eğil;38257;40074;Diyarbakır;minor;0
Eğirdir;37874;30833;Isparta;minor;0
Ekinözü;38060;37188;Kahramanmaraş;minor;0
Elazığ;38674;39223;Elazığ;admin;271492
Elbaşı;38674;35968;Kayseri;minor;0
Elbeyli;36674;37467;Kilis;minor;0
Elbistan;38206;37198;Kahramanmaraş;minor;0
Eldivan;40530;33499;Çankırı;minor;0
Eleşkirt;39798;42676;Ağrı;minor;0
Elmadağ;39921;33231;Ankara;minor;0
Elmalı;36736;29918;Antalya;minor;0
Elmalıdere;39637;42320;Erzurum;minor;0
Elvanlı;36704;34374;Mersin;minor;0
Emet;39343;29258;Kütahya;minor;0
Eminbey;41548;42782;Ardahan;minor;0
Emiralem;38610;27146;İzmir;minor;0
Emirdağ;39020;31150;Afyonkarahisar;minor;0
Emirgazi;37902;33837;Konya;minor;0
Enez;40725;26083;Edirne;minor;0
Erbaa;40669;36568;Tokat;minor;0
Erçek;38651;43644;Van;minor;0
Erciş;39026;43360;Van;minor;0
Erdek;40400;27793;Balıkesir;minor;0
Erdemli;36605;34308;Mersin;minor;0
Ereğli;37513;34048;Konya;minor;0
Ereğli;41283;31418;Zonguldak;minor;0
Erenler;40755;30393;Sakarya;minor;0
Erentepe;39009;42044;Muş;minor;0
Erfelek;41879;34918;Sinop;minor;0
Ergani;38269;39754;Diyarbakır;minor;0
Erkilet;38820;35440;Kayseri;minor;0
Ermenek;36640;32892;Karaman;minor;0
Ertuğrul;39576;27707;Balıkesir;minor;0
Eruh;37742;42174;Siirt;minor;0
Erzin;36953;36198;Hatay;minor;0
Erzincan;39739;39490;Erzincan;admin;129407
Erzurum;39909;41277;Erzurum;admin;420691
Eşen;36455;29282;Muğla;minor;0
Esençay;40668;36380;Amasya;minor;0
Esendere;37711;44601;Hakkâri;minor;0
Esiroğlu;40873;39688;Trabzon;minor;0
Eskil;38402;33413;Aksaray;minor;0
Eskipazar;40943;32531;Karabük;minor;0
Eskişehir;39777;30521;Eskişehir;admin;514869
Eskitatvan;38517;42300;Bitlis;minor;0
Eşme;38400;28969;Uşak;minor;0
Espiye;40947;38703;Giresun;minor;0
Etili;39986;26897;Çanakkale;minor;0
Etimesgut;39953;32633;Ankara;minor;0
Evciler;38041;29887;Afyonkarahisar;minor;0
Evciler;39776;26772;Çanakkale;minor;0
Evren;39024;33806;Ankara;minor;0
Evreşe;40667;26883;Çanakkale;minor;0
Eymir;40019;35208;Yozgat;minor;0
Eynesil;41064;39143;Giresun;minor;0
Ezine;39786;26341;Çanakkale;minor;0
Ezinepazarı;40570;36139;Amasya;minor;0
Fatsa;41028;37501;Ordu;minor;0
Feke;37814;35912;Adana;minor;0
Felahiye;39091;35567;Kayseri;minor;0
Ferizli;40941;30486;Sakarya;minor;0
Fethiye;36640;29128;Muğla;minor;0
Fevzipaşa;37094;36637;Gaziantep;minor;0
Filyos;41554;32024;Zonguldak;minor;0
Finike;36295;30141;Antalya;minor;0
Fındık;37513;41964;Şırnak;minor;0
Fındıklı;41269;41140;Rize;minor;0
Foça;38670;26757;İzmir;minor;0
Gallipoli;40410;26671;Çanakkale;minor;0
Gaziantep;37059;37383;Gaziantep;admin;1044000
Gaziemir;38324;27129;İzmir;minor;0
Gaziler;40081;43452;Iğdır;minor;0
Gaziler;40422;42348;Erzurum;minor;0
Gazipaşa;36269;32318;Antalya;minor;0
Gebiz;37104;30938;Antalya;minor;0
Gebze;40803;29431;Kocaeli;minor;0
Geçitli;37587;43562;Hakkâri;minor;0
Gedikbaşı;39489;38247;Sivas;minor;0
Gedikler;39082;38803;Tunceli;minor;0
